,fed_party,potus_party,recess,pce,ue,cars,house,cli,loan,exports,rgdp,gdpg,veloc,ffr,d_pce,d_ue,d_cars,d_house,d_cli,d_loan,d_exports,d_rgdp,d_gdpg,d_veloc,d_ffr,b0_spx,b0_usd,b1_spx,b1_usd
2012-04-25,1.0,0.0,0.0,1.99,8.2,14.769,753.0,99.90459,3.25,4.0,1.8,1.7,7.183,0.12,-0.07000000000000006,-0.3000000000000007,0.9710000000000001,59.0,0.4008800000000008,0.0,0.8999999999999999,-2.8,1.2,-0.15600000000000058,0.0,1279.7195319400375,80.13866554445117,1.17165492005977,-0.008246480506012385
2012-06-20,1.0,0.0,0.0,1.9,8.2,14.467,757.0,99.69522,3.25,4.0,1.8,1.7,7.183,0.12,-0.1200000000000001,-0.10000000000000142,-0.5079999999999991,53.0,-0.17740999999999474,0.0,-1.0,-1.5999999999999999,-0.7,-0.0810000000000004,0.0,1402.823453794483,78.4212569958968,-0.6790637279173851,0.030271592519449463
2012-08-01,1.0,0.0,0.0,1.84,8.2,14.38,740.0,99.60623,3.25,2.5,0.6,2.2,6.939,0.12,-0.1499999999999999,0.0,-0.38899999999999935,-13.0,-0.2983600000000024,0.0,-1.5,-1.2000000000000002,0.5000000000000002,-0.24399999999999977,0.0,1369.7639766672717,79.09751665750213,-0.29368169205432604,0.03909636383192451
2012-09-13,1.0,0.0,0.0,1.79,7.8,15.099,847.0,99.60523,3.25,2.5,0.6,2.2,6.939,0.12,-0.1299999999999999,-0.39999999999999947,0.6029999999999998,139.0,-0.20656999999999925,0.0,-1.5,-1.2000000000000002,0.5000000000000002,-0.24399999999999977,0.0,1295.1551066083377,82.53064135798867,1.1239828500940283,-0.004796488021931111
2012-10-24,1.0,0.0,0.0,1.78,7.8,14.83,915.0,99.67945,3.25,0.4,0.5,2.0,6.728,0.12,-0.11999999999999988,-0.39999999999999947,0.36299999999999955,158.0,-0.015770000000003392,0.0,-3.6,-1.3,0.30000000000000004,-0.45500000000000007,0.0,1344.9278343599724,83.65855941083517,1.0371457005972369,-0.03867886849715312
2012-12-12,1.0,0.0,0.0,1.62,7.9,15.462,976.0,99.89803,3.25,0.4,0.5,2.0,6.728,0.12,-0.16999999999999993,-0.1999999999999993,1.017999999999999,222.0,0.3260400000000061,0.0,-2.1,-0.09999999999999998,-0.20000000000000018,-0.2110000000000003,0.0,1436.373930951317,80.88916821062104,-0.26287141024075567,-0.00814008064723564
2013-01-30,1.0,0.0,0.0,1.57,8.0,15.813,888.0,100.04,3.25,2.1,4.0,1.6,6.729,0.12,-0.20999999999999996,0.20000000000000018,0.9830000000000005,-27.0,0.3605500000000035,0.0,1.7000000000000002,3.5,-0.3999999999999999,0.001000000000000334,0.0,1404.3166859883063,80.10972144080786,0.44144919614694933,-0.0010695492655798291
2013-03-20,1.0,0.0,0.0,1.56,7.5,15.721,1010.0,100.3071,3.25,2.1,4.0,1.6,6.729,0.12,-0.1399999999999999,-0.20000000000000018,0.26500000000000057,177.0,0.5309100000000058,0.0,1.7000000000000002,3.5,-0.3999999999999999,0.001000000000000334,0.0,1390.3091686977743,79.36951786797216,1.4130490047391264,0.018326029503402813
2013-05-01,1.0,0.0,0.0,1.42,7.6,15.811,835.0,100.4213,3.25,3.7,1.1,0.9,6.648,0.12,-0.20000000000000018,-0.3000000000000007,0.3490000000000002,-141.0,0.5232699999999966,0.0,3.3000000000000003,0.6000000000000001,-1.1,-0.08000000000000007,0.0,1464.2849226587489,79.42932864684518,1.0601244771901481,0.032911840565952866
2013-06-19,1.0,0.0,0.0,1.5,7.5,16.149,839.0,100.6236,3.25,3.7,1.1,0.9,6.648,0.12,-0.1100000000000001,-0.20000000000000018,0.28800000000000026,-123.0,0.43849999999999056,0.0,1.6,-2.9,-0.7000000000000001,-0.0810000000000004,0.0,1513.7505819906144,82.25587616739621,1.229484491384547,0.004224766408366307
