,fed_party,potus_party,recess,mom,pce,ue,cars,house,cli,exports,rgdp,gdpd,veloc,ffr,mich,d_pce,d_ue,d_cars,d_house,d_cli,d_exports,d_rgdp,d_gdpd,d_veloc,d_ffr,d_mich,b0_spx,b0_usd,b0_loan,b1_spx,b1_usd,b1_loan
1993-05-19,1.0,0.0,0.0,0.0,2.57,7.1,14.519,1260.0,99.73032,4.9,2.3,2.4,6.406,3.0,2.9,0.06999999999999984,-0.20000000000000018,1.0619999999999994,50.0,-0.4031799999999919,4.0,1.5999999999999999,0.10000000000000009,-0.10200000000000031,0.0,0.0,442.21559404944935,94.23452381218416,6.0,0.028539361608233404,-0.03592232671157402,0.0
1993-07-08,1.0,0.0,0.0,0.0,2.54,7.0,14.49,1280.0,99.59711,4.9,2.3,2.4,6.406,3.0,3.5,0.08999999999999986,0.0,1.1639999999999997,197.0,-0.42718999999999596,4.0,1.5999999999999999,0.10000000000000009,-0.10200000000000031,0.0,0.3999999999999999,446.721216192762,92.03784704375687,6.0,-0.008340119082443673,-0.013360433662887247,0.0
1993-08-18,1.0,0.0,0.0,0.0,2.49,6.8,13.584,1300.0,99.53692,-1.1,1.9,2.4,6.289,3.0,3.2,-0.029999999999999805,-0.2999999999999998,-0.9429999999999996,42.0,-0.3515600000000063,-6.0,-0.3999999999999999,0.0,-0.11699999999999999,0.0,0.20000000000000018,442.24516757060155,88.5447639831962,6.0,0.06773183765505236,0.06114065090295395,0.0
1993-09-22,1.0,0.0,0.0,0.0,2.53,6.7,13.99,1343.0,99.64192,-1.1,1.9,2.4,6.289,3.0,3.0,-0.040000000000000036,-0.39999999999999947,-0.5289999999999999,83.0,-0.08840000000000714,-6.0,-0.3999999999999999,0.0,-0.11699999999999999,0.0,0.10000000000000009,444.4648519485439,91.65257269934241,6.0,0.11630753325782553,0.023508272958780465,0.0
1993-11-17,1.0,0.0,0.0,0.0,2.43,6.6,14.882,1376.0,100.0666,13.5,5.6,2.2,6.25,3.0,2.8,-0.06999999999999984,-0.3000000000000007,0.43099999999999916,122.0,0.5426099999999963,14.6,3.6999999999999997,-0.19999999999999973,-0.0389999999999997,0.0,-0.20000000000000018,448.7700994868391,93.7855349845508,6.0,0.16386251923322467,-0.006624898012294569,0.0
1993-12-22,1.0,0.0,0.0,0.0,2.4,6.5,15.004,1533.0,100.3299,13.5,5.6,2.2,6.25,3.0,3.0,-0.0900000000000003,-0.2999999999999998,1.42,233.0,0.79298,14.6,3.6999999999999997,-0.19999999999999973,-0.0389999999999997,0.0,-0.20000000000000018,459.5935377643274,91.43072882215091,6.0,0.04787556917529652,0.040727675882058584,0.0
1994-02-04,1.0,0.0,0.0,0.0,2.36,6.6,15.379,1272.0,100.5764,4.0,3.9,1.9,6.264,3.0,2.8,-0.13000000000000034,-0.20000000000000018,0.46799999999999997,-120.0,0.7474800000000101,-9.5,-1.6999999999999997,-0.30000000000000027,0.014000000000000234,0.0,-0.5,461.0065611861845,93.34559224097443,6.0,0.09273281063808239,0.03314275299126032,0.0
1994-03-22,1.0,0.0,0.0,1.0,2.41,6.5,15.301,1564.0,100.9285,4.0,3.9,1.9,6.264,3.25,3.0,-0.020000000000000018,-0.09999999999999964,0.4190000000000005,188.0,0.8619000000000057,-9.5,-1.6999999999999997,-0.30000000000000027,0.014000000000000234,0.25,0.20000000000000018,465.7660209836167,96.21085243370585,6.0,0.04979408752227594,-0.008577418667715667,0.0
1994-05-17,1.0,0.0,0.0,1.0,2.27,6.1,14.577,1526.0,101.0682,14.2,5.5,1.9,6.339,3.5,3.1,-0.08999999999999986,-0.5,-0.8019999999999996,254.0,0.4917999999999978,10.2,1.6,0.0,0.07500000000000018,0.5,0.30000000000000027,479.29418728360685,96.5634262597079,5.7915713196033565,-0.3103861703890258,-0.03246243808406669,0.007143435734391773
1994-07-06,1.0,0.0,0.0,1.0,2.34,6.1,15.109,1409.0,101.0648,14.2,5.5,1.9,6.339,4.25,2.7,-0.07000000000000028,-0.40000000000000036,-0.19200000000000017,-155.0,0.13630000000000564,10.2,1.6,0.0,0.07500000000000018,1.0,-0.2999999999999998,457.7383664943715,95.03191226752635,5.919755911517925,-0.0646194220385877,-0.033451014273255655,0.01403475020756972
