,fed_party,potus_party,recess,mom,pce,ue,cars,house,cli,loan,exports,rgdp,gdpg,veloc,ffr,d_pce,d_ue,d_cars,d_house,d_cli,d_loan,d_exports,d_rgdp,d_gdpg,d_veloc,d_ffr,b0_spx,b0_usd,b1_spx,b1_usd
2012-04-25,1.0,0.0,0.0,0.0,1.99,8.2,14.769,753.0,99.90459,3.25,4.0,1.8,1.7,7.183,0.12,-0.030000000000000027,-0.10000000000000142,-0.20599999999999952,49.0,0.03195999999999799,0.0,-1.0,-1.5999999999999999,-0.7,-0.0810000000000004,0.0,1377.4171391005036,79.20004352503294,0.2700064823937639,0.008546537007291513
2012-06-20,1.0,0.0,0.0,0.0,1.9,8.2,14.467,757.0,99.69522,3.25,4.0,1.8,1.7,7.183,0.12,-0.09000000000000008,0.0,-0.3019999999999996,4.0,-0.20936999999999273,0.0,0.0,0.0,0.0,0.0,0.0,1385.3886005800377,78.81842067263946,-1.5242860587292042,0.07402530363167124
2012-08-01,1.0,0.0,0.0,0.0,1.84,8.2,14.38,740.0,99.60623,3.25,2.5,0.6,2.2,6.939,0.12,-0.05999999999999983,0.0,-0.08699999999999974,-17.0,-0.08899000000000967,0.0,-1.5,-1.2000000000000002,0.5000000000000002,-0.24399999999999977,0.0,1305.8669424703849,82.02189730491716,1.2422453253594747,0.020415926097429954
2012-09-13,1.0,0.0,0.0,0.0,1.79,7.8,15.099,847.0,99.60523,3.25,2.5,0.6,2.2,6.939,0.12,-0.050000000000000044,-0.39999999999999947,0.7189999999999994,107.0,-0.000999999999990564,0.0,0.0,0.0,0.0,0.0,0.0,1358.7708197233053,83.6809996474707,1.2539045042064638,-0.04971185521934586
2012-10-24,1.0,0.0,0.0,0.0,1.78,7.8,14.83,915.0,99.67945,3.25,0.4,0.5,2.0,6.728,0.12,-0.010000000000000009,-0.2999999999999998,0.38599999999999923,161.0,0.10746000000000322,0.0,-2.1,-0.09999999999999998,-0.20000000000000018,-0.2110000000000003,0.0,1421.4039886360786,80.99471035688131,0.5761641849925763,-0.03345345774614205
2012-12-12,1.0,0.0,0.0,0.0,1.62,7.9,15.462,976.0,99.89803,3.25,0.4,0.5,2.0,6.728,0.12,-0.15999999999999992,0.10000000000000053,0.6319999999999997,61.0,0.21858000000000288,0.0,0.0,0.0,0.0,0.0,0.0,1423.743175941496,79.92219730230289,-0.5303057046640566,0.012976368678258597
2013-01-30,1.0,0.0,0.0,0.0,1.57,8.0,15.813,888.0,100.04,3.25,2.1,4.0,1.6,6.729,0.12,-0.1299999999999999,0.2999999999999998,0.3570000000000011,55.0,0.26381000000000654,0.0,1.7000000000000002,3.5,-0.3999999999999999,0.001000000000000334,0.0,1398.4241412678748,79.91557896507211,1.6335601678042078,-0.0012456170565586764
2013-03-20,1.0,0.0,0.0,0.0,1.56,7.5,15.721,1010.0,100.3071,3.25,2.1,4.0,1.6,6.729,0.12,-0.010000000000000009,-0.5,-0.09200000000000053,122.0,0.2670999999999992,0.0,0.0,0.0,0.0,0.0,0.0,1487.6831880597465,79.06444273573327,1.0668240743120918,0.0633409261136058
2013-05-01,1.0,0.0,0.0,0.0,1.42,7.6,15.811,835.0,100.4213,3.25,3.7,1.1,0.9,6.648,0.12,-0.14000000000000012,0.09999999999999964,0.08999999999999986,-175.0,0.11419999999999675,0.0,1.6,-2.9,-0.7000000000000001,-0.0810000000000004,0.0,1539.4907855039235,82.53960002593338,0.7038204615681005,0.0014259800720197728
2013-06-19,1.0,0.0,0.0,0.0,1.5,7.5,16.149,839.0,100.6236,3.25,3.7,1.1,0.9,6.648,0.12,0.08000000000000007,-0.09999999999999964,0.33800000000000097,4.0,0.20229999999999393,0.0,0.0,0.0,0.0,0.0,0.0,1591.960861269745,83.16458503053254,1.1184623051348899,-0.016929446923706012
2013-07-31,1.0,0.0,0.0,0.0,1.55,7.3,16.021,880.0,100.6774,3.25,3.5,3.5,2.0,6.623,0.12,0.15000000000000013,-0.20000000000000018,0.13700000000000045,-50.0,0.14300000000000068,0.0,-0.20000000000000018,2.4,1.1,-0.024999999999999467,0.0,1603.0508702564123,82.06470363591842,1.3381231269851437,0.013281236650352633
2013-09-18,1.0,0.0,0.0,0.0,1.52,7.2,15.857,850.0,100.7212,3.25,3.5,3.5,2.0,6.623,0.12,-0.030000000000000027,-0.09999999999999964,-0.16400000000000148,-30.0,0.04379999999999029,0.0,0.0,0.0,0.0,0.0,0.0,1695.1646611880294,81.82500737491492,-0.7076043785843291,-0.004226244898256795
2013-10-30,1.0,0.0,0.0,0.0,1.52,7.2,15.727,925.0,100.7246,3.25,12.0,3.5,2.1,6.492,0.12,-0.020000000000000018,0.0,-0.09999999999999964,8.0,0.015900000000002024,0.0,8.5,0.0,0.10000000000000009,-0.13100000000000023,0.0,1649.1708541578382,82.11057188117994,1.6268299370224362,-0.051138045562012124
2013-12-18,1.0,0.0,0.0,0.0,1.65,6.7,15.835,1002.0,100.721,3.25,12.0,3.5,2.1,6.492,0.12,0.1299999999999999,-0.5,0.10800000000000054,77.0,-0.00359999999999161,0.0,0.0,0.0,0.0,0.0,0.0,1753.0541994882299,80.00222462378682,0.9105470736113765,0.012777683439363597
2014-01-29,1.0,0.0,0.0,0.0,1.63,6.6,15.614,888.0,100.7091,3.25,-3.8,-1.4,1.5,6.314,0.12,0.039999999999999813,-0.3000000000000007,-0.46499999999999986,-212.0,-0.019099999999994566,0.0,-15.8,-4.9,-0.6000000000000001,-0.17799999999999994,0.0,1798.544736330298,80.26077492665331,0.6780426692898636,0.00986639131947404
2014-03-19,0.0,0.0,0.0,0.0,1.59,6.7,16.985,970.0,100.7724,3.25,-3.8,-1.4,1.5,6.314,0.12,-0.039999999999999813,0.10000000000000053,1.3709999999999987,82.0,0.06329999999999814,0.0,0.0,0.0,0.0,0.0,0.0,1790.3233277423924,81.2045241803868,1.290824999172079,-0.028543192562414263
2014-04-30,0.0,0.0,0.0,0.0,1.72,6.2,16.695,1043.0,100.83,3.25,8.9,5.3,2.3,6.272,0.12,0.1499999999999999,-0.5,0.702,99.0,0.10389999999999588,0.0,12.7,6.699999999999999,0.7999999999999998,-0.041999999999999815,0.0,1863.9151638569588,79.85827398674857,-0.09366657349242151,0.00023366085242646094
