"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-03",103.06,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-04",103.1123,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-05",102.8642,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-06",102.3044,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-07",101.6212,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-08",100.9955,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-09",100.5065,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-10",100.112,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-11",99.73048,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-12",99.34821,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-01",98.95898,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-02",98.55349,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-03",98.10326,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-04",97.61054,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-05",97.18502,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-06",96.83642,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-07",96.5622,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-08",96.39204,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-09",96.38323,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-10",96.51055,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-11",96.78279,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-12",97.17696,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-01",97.6695,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-02",98.19035,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-03",98.68486,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-04",99.05662,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-05",99.22917,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-06",99.20675,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-07",99.07075,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-08",98.87119,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-09",98.69151,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-10",98.5452,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-11",98.43231,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-12",98.34487,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-01",98.32649,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-02",98.40829,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-03",98.52625,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-04",98.61728,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-05",98.70081,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-06",98.82996,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-07",99.03612,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-08",99.29666,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-09",99.59723,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-10",99.92724,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-11",100.2029,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-12",100.4387,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-01",100.6723,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-02",100.902,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-03",101.1548,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-04",101.4143,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-05",101.6507,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-06",101.8606,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-07",102.0069,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-08",102.0607,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-09",102.0329,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-10",102.0142,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-11",101.9944,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-12",101.9775,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-01",101.9538,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-02",101.9005,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-03",101.7818,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-04",101.6044,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-05",101.3475,
